Title,Skill Level,Yarn Weight,Fiber Type,Yardage,Category,Hook Size,Pattern Link
Classic Tunisian Pullover,Intermediate,DK,Alpaca,1200-5020,,J/6.0mm TUNISIAN crochet hook,https://www.crochet.com/classic-tunisian-pullover/p/17991D
Columbia River Cabled Hat,Intermediate,"DK, Sport",Alpaca,450,Crochet,Size G/6 (4.0mm) crochet hook,https://www.crochet.com/columbia-river-cabled-hat/p/58119
Corner to Corner Afghan,Intermediate,Bulky,Acrylic,1632,,Size K (6.5mm) Crochet hook,https://www.crochet.com/corner-to-corner-afghan/p/58064
Crochet Coffee Sleeves,Beginner,Worsted,Acrylic,60,,H/5.0mm crochet hook,https://www.crochet.com/crochet-coffee-sleeves/p/18746D
Demelza Scarf,Beginner,Worsted,Cotton,763,,I/5.5mm crochet hook,https://www.crochet.com/demelza-scarf/p/15604D
Dishie Towel,Intermediate,Worsted,Cotton,380-760,,Size G/6 (4.5mm): hook,https://www.crochet.com/dishie-towel/p/17785D
Double Espresso Duster Cardigan,Intermediate,Sport,Acrylic,1911-3549,Crochet,G/4.5mm crochet hook,https://www.crochet.com/double-espresso-duster-cardigan/p/17951D
Enchanted Poncho,Intermediate,Bulky,,1050-1305,Crochet,6.0mm and 7.0mm crochet hooks,https://www.crochet.com/enchanted-poncho/p/N4254
Funicular Cowl,Intermediate,Worsted,Wool,330,,Size I/9 (5.5mm) crochet hook,https://www.crochet.com/funicular-cowl/p/58129
Hastings Cabled Sweater,Intermediate,Fingering,Wool,2541-3003,,Size C/2 (3.00mm) crochet hook,https://www.crochet.com/hastings-cabled-sweater/p/58121
Henry Street Jumper,Intermediate,DK,Wool,1845-2952,,Sizes G/6  & H/8 crochet hooks,https://www.crochet.com/henry-street-jumper/p/58125
Hightide Shawl,Intermediate,Fingering,Wool,920,Crochet,H/5.0mm crochet hook,https://www.crochet.com/hightide-shawl/p/54038D
Homage to Hue Shift Rainbow Blanket,Intermediate,Sport,Acrylic,4914,,7/4.5mm crochet hook,https://www.crochet.com/homage-to-hue-shift-rainbow-blanket/p/18138D
Houndstooth Picnic Blanket Pattern,Intermediate,DK,Wool,981-4428,,U.S. G/6 (4 mm) crochet hook,https://www.crochet.com/houndstooth-picnic-blanket-pattern/p/58018
Keighley Loom Blanket,Intermediate,Worsted,Cotton,2616,,Size K/10.5 (6.5mm) crochet hook,https://www.crochet.com/keighley-loom-blanket/p/58116
Lady Bird Tee,Intermediate,Fingering,Wool,1150-2300,,E/4 (3.5 mm) Crochet hook,https://www.crochet.com/lady-bird-tee/p/55103D
Lattice Back Tee,Intermediate,DK,Cotton,615-1107,,Sizes H/8 (5.0mm) & J/10 (6.0mm) Crochet hook,https://www.crochet.com/lattice-back-tee/p/54022D
Linwood Place Blanket,Intermediate,Sport,Acrylic,5084,,Size F/5 (3.75mm) crochet hook,https://www.crochet.com/linwood-place-blanket/p/58118
Lottie Retro Flower Blanket,Advanced,Worsted,,2700,Crochet,4.5mm crochet hook,https://www.crochet.com/lottie-retro-flower-blanket/p/N2330
Lotus Blanket,Intermediate,Sport,Acrylic,1700-3400,,Sizes 7 (4.5mm) &  I/9 (5.5mm) Crochet hook,https://www.crochet.com/lotus-blanket/p/55013D
Magic Forest Pillows,Intermediate,Worsted,Wool,1320,,Size 7 (4.5mm) crochet hook,https://www.crochet.com/magic-forest-pillows/p/58110
Midnight Crochet Wrap,Intermediate,"Lace, Fingering",Wool,990,,Size G-6/4mm crochet hook,https://www.crochet.com/midnight-crochet-wrap/p/12093D
Midtown Mantle Mock-neck Top,Intermediate,DK,Wool,1599-2337,,Size G/6 (4.0mm) crochet hook,https://www.crochet.com/midtown-mantle-mock-neck-top/p/58131
Modish Mosaic Hat,Intermediate,Worsted,Wool,220-330,,"G/4.0mm crochet hook, H/5.0mm crochet hook",https://www.crochet.com/modish-mosaic-hat/p/18381D
Montague Avenue Hat & Cowl,Intermediate,Sport,Wool,1107,,Size G/6 (4.00mm) crochet hook,https://www.crochet.com/montague-avenue-hat-cowl/p/58130
Nacelle Project Basket,Intermediate,"Super Bulky, DK",Cotton,993,,Size I/9 (5.5mm) crochet hook,https://www.crochet.com/nacelle-project-basket/p/58113
Playpen Blanket,Intermediate,Sport,Wool,1968-3280,,Sizes G/6 hook (4mm) & H/8 hook (5mm) Crochet hook,https://www.crochet.com/playpen-blanket/p/55002D
Railway Hill Set,Intermediate,Sport,Acrylic,273-1365,,Size G/6 (4.00mm) crochet hook,https://www.crochet.com/railway-hill-set/p/58123
Riverwalk Pillow & Throw,Intermediate,"Super Bulky, Bulky",,1940,,Sizes J/10 (6.0mm) & 7mm crochet hooks,https://www.crochet.com/riverwalk-pillow-throw/p/58112
Royal Diamond Socks,Intermediate,Fingering,Wool,272-408,,B/1 (2.25mm) and C/2 (2.75mm) Crochet hook,https://www.crochet.com/royal-diamond-socks/p/55063D
Rustic Farmhouse Bunny,,Worsted,,260,Crochet,7mm crochet hook,https://www.crochet.com/rustic-farmhouse-bunny/p/N4584
Rustic Farmhouse Carrots,Intermediate,"DK, Worsted",Wool,300,,7.0mm crochet hook,https://www.crochet.com/rustic-farmhouse-carrots/p/15773D
Sara Head Scarf,Intermediate,"Fingering, Sport",Wool,462,,E/3.5mm crochet hook,https://www.crochet.com/sara-head-scarf/p/54006D
Short & Sweet Socks,Intermediate,Fingering,Wool,396,,B/1 (2.25mm) Crochet hook,https://www.crochet.com/short-sweet-socks/p/55058D
Snuggle Hexi Blanket,Intermediate,Aran/Heavy Worsted,Cotton,142-426,,Size 8mm Tunisian crochet hook with a 4 inch cord; size 6.5mm Crochet hook for seaming and the border,https://www.crochet.com/snuggle-hexi-blanket/p/55012D
The Barrington Pillow,Intermediate,Bulky,Acrylic,550,,Size K/10½ (6.5mm) crochet hook,https://www.crochet.com/the-barrington-pillow/p/58111
The Lillie Blanket,Intermediate,Worsted,Wool,2750,,Size I/5 (5.5mm) Crochet hook,https://www.crochet.com/the-lillie-blanket/p/55014D
Trio of Trinket Bowls,Intermediate,"DK, Super Bulky",Acrylic,413,,Size 7 (4.5mm) crochet hook,https://www.crochet.com/trio-of-trinket-bowls/p/58114
Tuff Puff Rainbow Wall Hanging,Beginner,Super Bulky,Wool,264,,Size P/Q (15 mm) crochet hook,https://www.crochet.com/tuff-puff-rainbow-wall-hanging/p/58170
Victoria Falls Throw,Intermediate,Worsted,Wool,2640,,Size K/10.5 (6.5mm) crochet hook,https://www.crochet.com/victoria-falls-throw/p/58115
Warm Springs Cowl,Intermediate,Sport,Wool,298,,Size E/4 (3.50mm) Crochet hook,https://www.crochet.com/warm-springs-cowl/p/54062D
Washington Park Cowl-Neck Sweater,Intermediate,DK,Alpaca,1599-1845,,Size H/8 (5.0mm) crochet hook,https://www.crochet.com/washington-park-cowl-neck-sweater/p/58122
Aglow Tunisian Duster Vest,Intermediate,"Worsted, DK",,600-900,Crochet,US H/8 (5mm) Tunisian Crochet hook,https://www.crochet.com/aglow-tunisian-duster-vest/p/55139D
Alpine Stitch Dishcloth,Intermediate,Worsted,Cotton,190,,Size I/9 (5.5mm) Crochet hook,https://www.crochet.com/alpine-stitch-dishcloth/p/58322
Anchors Aweigh Tank,Intermediate,Sport,Cotton,1090-2398,,L/11 (8mm) Tunisian hook with cable (at least ? length of finished project width),https://www.crochet.com/anchors-aweigh-tank/p/55106D
Arrow Blanket,Intermediate,Worsted,,1300,Crochet,I/5.5mm crochet hook,https://www.crochet.com/arrow-blanket/p/N4244
Aster Pullover,Intermediate,Lace,Cotton,1475-2655,,Size E/4 (3.5mm) Crochet hook,https://www.crochet.com/aster-pullover/p/54025D
Baby Owl Tree Ornament,Intermediate,"Worsted, Super Bulky",,25,,"E/3.5mm, I/5.5mm crochet hooks",https://www.crochet.com/baby-owl-tree-ornament/p/18105D
Berry Jam Jar Dishcloth,Intermediate,Worsted,Cotton,380,,Size E/4 (3.5mm) Crochet hook,https://www.crochet.com/berry-jam-jar-dishcloth/p/58323
Bora Bora Sleeveless Cardi,Intermediate,Lace,Cotton,974-1947,,D/3.25mm and E/3.5mm crochet hook,https://www.crochet.com/bora-bora-sleeveless-cardi/p/18056D
Bulky Fitted Cowl,Intermediate,Bulky,,120,Crochet,H/5.0mm crochet hook,https://www.crochet.com/bulky-fitted-cowl/p/N3901
C2C Color Fade Dishcloth,Intermediate,Sport,Cotton,330,,Size E/4 (3.5mm) Crochet hook,https://www.crochet.com/c2c-color-fade-dishcloth/p/58325
Cabana Cardi,Intermediate,"Sport, DK",Cotton,805-1400,,7/4.5mm crochet hook,https://www.crochet.com/cabana-cardi/p/18306D
Cabled Spa Cloth,Intermediate,DK,Cotton,123,,Size G/6 (4mm): crochet hooks,https://www.crochet.com/cabled-spa-cloth/p/55821
Camper Clutch,Intermediate,Sport,Cotton,770,,D/3.25mm crochet hook,https://www.crochet.com/camper-clutch/p/54002D
Celtic Garden Cable Blanket,Intermediate,Worsted,Wool,3740,,H/5.0mm crochet hook,https://www.crochet.com/celtic-garden-cable-blanket/p/18740D
Celtic Knot Crochet Afghan,Intermediate,Worsted,Acrylic,3723,,Size H/8 (5mm): crochet hook,https://www.crochet.com/celtic-knot-crochet-afghan/p/11802D
Celtic Twist Cable Blanket,Intermediate,Worsted,Wool,6109,,H/5.0mm crochet hook,https://www.crochet.com/celtic-twist-cable-blanket/p/18559D
Cherry Blossom Top,Intermediate,Fingering,Cotton,720-1080,,Sizes C/2 (2.75mm) & E/4 (3.5mm) Crochet hook,https://www.crochet.com/cherry-blossom-top/p/54018D
Christie Sweater,Intermediate,Worsted,Wool,879-1738,,J/6.00mm crochet hook,https://www.crochet.com/christie-sweater/p/18895D
Circus Baby Blanket,Intermediate,Worsted,Cotton,1417-2507,,Size G/7 (4.5mm) Crochet hook,https://www.crochet.com/circus-baby-blanket/p/55003D
Confused Textures Dishcloth,Intermediate,Worsted,Cotton,95,,"H/5mm, I/5.5mm crochet hooks",https://www.crochet.com/confused-textures-dishcloth/p/56000
Cookies & Cream Crochet Dishcloth,Intermediate,DK,Cotton,143,,Size 9/I (5.5mm): crochet hook,https://www.crochet.com/cookies-cream-crochet-dishcloth/p/55595
Creamsicle Dishcloth,Intermediate,Worsted,Cotton,380,,Size E/4 (3.5mm) Crochet hook,https://www.crochet.com/creamsicle-dishcloth/p/58324
Crochet Celtic Weave Dishcloth,Intermediate,Worsted,Cotton,95,,Size G/6 (4mm): crochet hook,https://www.crochet.com/crochet-celtic-weave-dishcloth/p/56034
Crochet Chevron Dishcloth,Intermediate,Worsted,Cotton,95,,Size H/8 (5mm): crochet hoook,https://www.crochet.com/crochet-chevron-dishcloth/p/56035
Crochet Chubby Owl Family,Intermediate,Sport,Cotton,96-136,,D/3.25mm crochet hook,https://www.crochet.com/crochet-chubby-owl-family/p/11935D
Crochet Log Cabin Dishcloth,Intermediate,DK,Cotton,120,,Size F/5 (3.75mm): crochet hook,https://www.crochet.com/crochet-log-cabin-dishcloth/p/56036
Crochet Rib Dishcloth,Intermediate,Worsted,Cotton,95,,Size H/8 (5mm): crochet hook,https://www.crochet.com/crochet-rib-dishcloth/p/56038
Crocus Tank,Intermediate,Lace,Cotton,1442-2163,,Sizes 6 (1.8 mm) & 8 (1.5 mm) Steel crochet hook,https://www.crochet.com/crocus-tank/p/54023D
Custard Pie Dishcloth,Beginner,"Worsted, DK",Cotton,190,,Size J/10 (6mm): crochet hook,https://www.crochet.com/custard-pie-dishcloth/p/55588
Dancing Shells Crochet Dishcloth,Intermediate,Worsted,Cotton,100,,US I/9 (5.5mm) hooks,https://www.crochet.com/dancing-shells-crochet-dishcloth/p/55587
Dark Matter Shawl,Intermediate,Fingering,Wool,1071,Crochet,7/4.5mm crochet hook,https://www.crochet.com/dark-matter-shawl/p/15741D
Deidra Sweater,Intermediate,Worsted,Wool,1115-2520,,H/5.0mm crochet hook,https://www.crochet.com/deidra-sweater/p/15780D
Delilah Cardigan,Intermediate,DK,Cotton,1476-2460,,G/4.0mm crochet hook,https://www.crochet.com/delilah-cardigan/p/54051D
Delphinium Tee,Intermediate,Fingering,Wool,924-1848,,Size D/3 (3.25mm) Crochet hook,https://www.crochet.com/delphinium-tee/p/54026D
Diamond Crochet Cardigan,Intermediate,"Worsted, Sport",Cotton,700-1400,,G/4mm crochet hook,https://www.crochet.com/diamond-crochet-cardigan/p/18909D
Double Chain Sock,Intermediate,Fingering,Wool,462-693,,B/1 (2.25mm) Crochet hook,https://www.crochet.com/double-chain-sock/p/55062D
Dragonfly Delight Dishcloth,Intermediate,Worsted,Cotton,95,,Size H/8 (5mm): crochet hook,https://www.crochet.com/dragonfly-delight-dishcloth/p/56001
Dreamy Crochet Star Motif,Intermediate,Worsted,Cotton,60,,G/4.0mm crochet hook,https://www.crochet.com/dreamy-crochet-star-motif/p/18908D
Driftwood Hooded Jacket,Intermediate,Super Bulky,,900-7000,Crochet,M/9.0mm crochet hook,https://www.crochet.com/driftwood-hooded-jacket/p/N3272
Earl Gray Pillow,Intermediate,Bulky,Acrylic,680,,K/10.5 (6.5 mm) Crochet hook,https://www.crochet.com/earl-gray-pillow/p/55044D
Easy Like Sunday Morning Socks,Intermediate,Worsted,Wool,436,,G/6 (4.00mm) Crochet hook,https://www.crochet.com/easy-like-sunday-morning-socks/p/55065D
Ebb + Flow Crochet Dishcloth,Beginner,DK,Cotton,246,,Size F/5 (3.75mm): crochet hook,https://www.crochet.com/ebb-flow-crochet-dishcloth/p/55575
Emma Hat,Beginner,DK,Alpaca,250,,"G/4.0mm crochet hook, H/5.0mm crochet hook",https://www.crochet.com/emma-hat/p/13036D
Etoile Crochet Dishcloth,Beginner,DK,Cotton,246,,Size G (4.0mm): crochet hook,https://www.crochet.com/etoile-crochet-dishcloth/p/55561
Faux Fade Wrap,Intermediate,Fingering,Wool,1848,,Size E/4 (3.5mm): hook,https://www.crochet.com/faux-fade-wrap/p/17819D
Fisherman Throw,Intermediate,Worsted,Acrylic,3700,,P/12.0mm crochet hook,https://www.crochet.com/fisherman-throw/p/15912D
Free Spirit Wall Hanging,Intermediate,Worsted,Cotton,1330,,G/4.0mm crochet hook,https://www.crochet.com/free-spirit-wall-hanging/p/54049D
Garden Path Top,Intermediate,DK,Cotton,738-1476,,Size H/8 (5.0mm) Crochet hook,https://www.crochet.com/garden-path-top/p/54017D
Glacial Spa Cloth,Intermediate,Sport,Cotton,110,,Size G/6 (4mm): crochet hook,https://www.crochet.com/glacial-spa-cloth/p/55852
Golden Lattice Dishcloth,Intermediate,DK,Cotton,123,,Size F/5 (3.75mm): crochet hook,https://www.crochet.com/golden-lattice-dishcloth/p/55597
Heel Pop Socks,Intermediate,Fingering,Wool,693,,B/1 (2.25mm) Crochet hook,https://www.crochet.com/heel-pop-socks/p/55061D
Hinton Pullover,Intermediate,Sport,Wool,596-2086,Crochet,Sizes F/5 (3.75 mm) & G/6 (4.00mm) Crochet hook,https://www.crochet.com/hinton-pullover/p/54072D
Hipacious Houndstooth Dishcloth,Intermediate,Worsted,Acrylic,190,,"H/5mm, I/5.5mm crochet hooks",https://www.crochet.com/hipacious-houndstooth-dishcloth/p/56002
In The Clouds Cardigan,Intermediate,Bulky,Cotton,864-1392,,"J/6.00mm crochet hook, K/7mm crochet hook",https://www.crochet.com/in-the-clouds-cardigan/p/18400D
Las Nubes,Intermediate,Fingering,Wool,792-2376,,"E/3.5m, F/3.75mm, and 7/4.5mm crochet hooks",https://www.crochet.com/las-nubes/p/15913D
Lavender Vest,Intermediate,Worsted,Cotton,436-981,,Size I/9 (5.5mm) Crochet hook,https://www.crochet.com/lavender-vest/p/54020D
Lilac Trellis Tank,Intermediate,Sport,Wool,788-1050,,E/4 (3.5mm) crochet hook,https://www.crochet.com/lilac-trellis-tank/p/55101D
Little Penguin Amigurumi,Intermediate,Worsted,Acrylic,50,"Knit, Crochet",Size G (4.25mm): crochet hook,https://www.crochet.com/little-penguin-amigurumi/p/13134D
Lola Tank,Intermediate,Worsted,Cotton,1312-2406,,H/5.0mm crochet hook,https://www.crochet.com/lola-tank/p/54053D
Lumi Filet Crochet Blanket,Beginner,Worsted,Cotton,1900,,G/4.0mm crochet hook,https://www.crochet.com/lumi-filet-crochet-blanket/p/15709D
Macchiato Sweater,Intermediate,"Worsted, Aran/Heavy Worsted, Bulky",Alpaca,825-1800,,Size J/8 (6.0mm),https://www.crochet.com/macchiato-sweater/p/17929D
Mismatched Crochet Dishcloth,Beginner,Worsted,Cotton,190,,US 7 (4.5mm): crochet hook,https://www.crochet.com/mismatched-crochet-dishcloth/p/55560
Misty Rose Crochet Dishcloth Pattern,Intermediate,Worsted,Cotton,130,,Size H/8 (5.00mm): crochet hook,https://www.crochet.com/misty-rose-crochet-dishcloth-pattern/p/55594
Mocha Pullover,Intermediate,DK,Alpaca,1107-2460,,"G+/4.5mm, H/5mm crochet hook",https://www.crochet.com/mocha-pullover/p/18039D
Multi Chevron Dishcloth,Intermediate,Worsted,Cotton,380,,Size I/9 (5.5mm) Crochet hook,https://www.crochet.com/multi-chevron-dishcloth/p/58088
Nice-n-Easy Cloth,Intermediate,Sport,Cotton,110,,Size G/6 (4mm): crochet hook,https://www.crochet.com/nice-n-easy-cloth/p/55839
Ocean Waves Skirt,Intermediate,Sport,Wool,184-609,Crochet,H/5.0mm crochet hook,https://www.crochet.com/ocean-waves-skirt/p/15725D
Paintbrush Motif Scarf,Intermediate,Sport,Wool,596,,Size G/6 (4.00mm) Crochet hook,https://www.crochet.com/paintbrush-motif-scarf/p/54070D
Pastel Meadows Throw,Intermediate,Worsted,Wool,2382,,7/4.5mm crochet hook,https://www.crochet.com/pastel-meadows-throw/p/15915D
Peach Margot Dishcloth Pattern,Beginner,"DK, Worsted",Cotton,380,,Size G/6 (4.0mm) crochet hook,https://www.crochet.com/peach-margot-dishcloth-pattern/p/55555
Pique-A-Boo Baby Blanket,Beginner,Worsted,Wool,1340,,I/5.5mm crochet hook,https://www.crochet.com/pique-a-boo-baby-blanket/p/18764D
Poplar Tunisian Poncho,Intermediate,Worsted,Wool,1000-1500,,J/6.0mm and L/8.0mm crochet hooks,https://www.crochet.com/poplar-tunisian-poncho/p/15893D
Pumpkin Beanie Hat,Intermediate,Worsted,Acrylic,80-190,Crochet,7/4.5mm crochet hook,https://www.crochet.com/pumpkin-beanie-hat/p/16012D
Puppy Lovey,Intermediate,Worsted,Wool,160,,E/3.5mm and I/5.5mm crochet hooks,https://www.crochet.com/puppy-lovey/p/15716D
Raindrop Top,Intermediate,DK,Wool,738-1722,Crochet,Size G/6 (4.0mm) Crochet hook,https://www.crochet.com/raindrop-top/p/54024D
Rainy Day Socks,Intermediate,Worsted,Wool,440-550,,F/5 (3.75mm) Crochet hook,https://www.crochet.com/rainy-day-socks/p/55064D
Ribbon Candy Crocheted Dishcloth,Beginner,Worsted,Cotton,160,,Size G/6 (4.25mm): crochet hook,https://www.crochet.com/ribbon-candy-crocheted-dishcloth/p/55551
Rocky Mountain Colorblock Pullover,Intermediate,Fingering,Wool,1405-2410,,"G/4.0mm crochet hook, 7/4.5mm crochet hook",https://www.crochet.com/rocky-mountain-colorblock-pullover/p/18900D
Romantic Fingerless Gloves,Beginner,"Worsted, Bulky",Acrylic,110,,J/6 mm crochet hook,https://www.crochet.com/romantic-fingerless-gloves/p/18139D
Rustic Tableware Trio,Intermediate,DK,,40-485,Crochet,E/3.5mm crochet hook,https://www.crochet.com/rustic-tableware-trio/p/N2723
Sand Dollar Shawl,Intermediate,Fingering,Wool,1428,,F/3.75mm & G/4.0mm crochet hooks,https://www.crochet.com/sand-dollar-shawl/p/54039D
Sideways Starters Socks,Intermediate,Fingering,Wool,357-714,,C/2 (2.75mm) Crochet hook,https://www.crochet.com/sideways-starters-socks/p/55060D
Smooth Sailing Pullover,Intermediate,"Fingering, Lace",Cotton,1475-2655,,E/4 (3.5mm) Crochet hook,https://www.crochet.com/smooth-sailing-pullover/p/55105D
Snuggle Stitch Stripes Dishcloth,Intermediate,Worsted,Cotton,270,,Size 7 (4.75mm) Crochet hook,https://www.crochet.com/snuggle-stitch-stripes-dishcloth/p/58326
Space Blanket,Intermediate,Worsted,Acrylic,2810,,H/5.0mm and J/6.0mm crocket hooks,https://www.crochet.com/space-blanket/p/15767D
Summer Solstice Stole,Beginner,Fingering,Wool,950,,B/2.0mm crochet hook,https://www.crochet.com/summer-solstice-stole/p/14144D
Teal Swirl Crochet Dishcloth,Beginner,Worsted,Cotton,100,,Size J-10 (6.0mm): crochet hook,https://www.crochet.com/teal-swirl-crochet-dishcloth/p/55563
Textured Comb Crochet Dishcloth,Intermediate,DK,Cotton,123,,Size F/5 (3.75mm): crochet hook,https://www.crochet.com/textured-comb-crochet-dishcloth/p/56039
The Crochet Summer Stripe Set,Intermediate,Worsted,Cotton,160-1570,Crochet,J/6.00mm crochet hook,https://www.crochet.com/the-crochet-summer-stripe-set/p/18476D
The Harlee Tee,Intermediate,Worsted,Cotton,746-1400,Crochet,I/5.5mm crochet hook,https://www.crochet.com/the-harlee-tee/p/18661D
The Jerrica Dishcloth,Intermediate,Sport,Cotton,150,,Size F/5 (3.75mm),https://www.crochet.com/the-jerrica-dishcloth/p/55599
Three Little Kittens Blanket,,Worsted,,3267,Crochet,L/8.0mm Tunisian crochet hook,https://www.crochet.com/three-little-kittens-blanket/p/N16093
Tulip Top,Intermediate,Sport,Wool,1048-1441,,Size F/5 (3.75mm) Crochet hook,https://www.crochet.com/tulip-top/p/54021D
Tunisian Lattice Dishcloth,Intermediate,Worsted,Cotton,75,,Size F/5 (3.75mm) Tunisian Crochet hook,https://www.crochet.com/tunisian-lattice-dishcloth/p/58327
Wavy Chevron Crochet Dishcloth,Beginner,Worsted,Cotton,150-190,,Size G (4.0mm) crochet hook,https://www.crochet.com/wavy-chevron-crochet-dishcloth/p/55545
Weekend Snuggle Sweater,Intermediate,DK,Wool,1107-1599,,U.S. size J (6 mm) crochet hook,https://www.crochet.com/weekend-snuggle-sweater/p/17755D
African Violet Afghan,Intermediate,Worsted,Wool,2750,,Size G (4.25mm) hook,https://www.crochet.com/african-violet-afghan/p/58039
Ahead of the Curve Throw Pillow,Intermediate,"Aran/Heavy Worsted, Bulky",Wool,550,,I/5.5mm crochet hook,https://www.crochet.com/ahead-of-the-curve-throw-pillow/p/18718D
Alfonso Vest,Intermediate,Worsted,Wool,990-1760,,I/5.5mm crochet hook,https://www.crochet.com/alfonso-vest/p/18691D
Alice Bunny,Beginner,Worsted,Wool,872,,L/11 (8mm) crochet hook,https://www.crochet.com/alice-bunny/p/56337
All Ages Frozen Snowflakes Crochet Beanie,Intermediate,Fingering,Wool,280,,"C/2.5mm, D/3.0mm, E/3.5mm, or G-4.0mm crochet hook depending on size being made",https://www.crochet.com/all-ages-frozen-snowflakes-crochet-beanie/p/12110D
All Seasons Cowl,Intermediate,DK,Wool,190,,H/5.0mm crochet hook,https://www.crochet.com/all-seasons-cowl/p/18086D
Alvern Cardigan,Intermediate,Sport,Wool,1165-2245,,7/4.5mm crochet hook,https://www.crochet.com/alvern-cardigan/p/15724D
