Title,Skill Level,Yarn Brand,Yarn Name,Yarn Weight,Hook Size,Stitches,Color,Category,Pattern Link
Squirrel Amigurumi Crochet Pattern,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Black , Brown , Neutral","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/squirrel-amigurumi-crochet-pattern/
The Foolish Frankenstein,3. Intermediate,Lion Brand,24/7 Cotton,"Weight 2 - Fine , Weight 3 - Light , Weight 4 - Medium","2.75 mm (C-2) , 3.25 mm (D-3)","Front Loop Single Crochet , Single Crochet , Single Crochet Back Loop","Black , Blue , Brown",Black,https://easycrochet.com/partner/the-foolish-frankenstein/
Free Cat Amigurumi Crochet Pattern,"1. Basic , 2. Easy",,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch",Gray,"Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/free-cat-amigurumi-crochet-pattern/
Free Bee Amigurumi Crochet Pattern,"1. Basic , 2. Easy",,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Black , White , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/free-bee-amigurumi-crochet-pattern/
Free Bat Amigurumi Crochet Pattern,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch","Black , Purple","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/free-bat-amigurumi-crochet-pattern/
Limelle Cushion,2. Easy,Hobbii,,Weight 2 - Fine,4 mm (G-6),Tunisian Simple Stitch,"Blue , Gray , Green , Neutral",Crochet Pillows,https://easycrochet.com/partner/limelle-cushion/
Cute Alpaca Amigurumi,2. Easy,,,"Weight 2 - Fine , Weight 5 - Bulky , Weight 6 - Super Bulky","2.25 mm (B-1) , 3.5 mm (E-4) , 5 mm (H-8)","Single Crochet , Slip Stitch","Brown , Neutral , Pink","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/cute-alpaca-amigurumi/
Casper the Dog – Free Amigurumi Crochet Pattern,2. Easy,,,"Weight 2 - Fine , Weight 6 - Super Bulky","2.25 mm (B-1) , 5 mm (H-8)","Single Crochet , Slip Stitch","Brown , Neutral , Orange , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/casper-the-dog-free-amigurumi-crochet-pattern/
Free Lion Crochet Pattern,2. Easy,,,Weight 2 - Fine,2.25 mm (B-1),"Single Crochet , Slip Stitch","Brown , White , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/free-lion-crochet-pattern/
6 Petal Crochet Flower Applique,2. Easy,Hobbii,Friends Cotton 8/6,Weight 2 - Fine,3.5 mm (E-4),"Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch , Triple Crochet",,Appliques,https://easycrochet.com/crochet-flower-applique/
Crochet Ice Cream Cone Applique,3. Intermediate,Hobbii,Friends Cotton 8/6,Weight 2 - Fine,3.5 mm (E-4),"Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch",Neutral,Neutral,https://easycrochet.com/crochet-ice-cream-cone-applique/
Victoria Shawl,2. Easy,,,Weight 2 - Fine,,"Tunisian Knit Stitch , Tunisian Purl Stitch , Tunisian Simple Stitch","Green , Yellow","Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/victoria-shawl/
Helen Shawl,3. Intermediate,Scheepjes,,Weight 2 - Fine,4.5 mm (7),"Tunisian Purl Stitch , Tunisian Simple Stitch",Orange,Crochet Shawls & Wraps,https://easycrochet.com/partner/helen-shawl/
Laura Cardigan,3. Intermediate,Scheepjes,Stone Washed,Weight 2 - Fine,3.5 mm (E-4),"Double Crochet , Single Crochet",Neutral,Neutral,https://easycrochet.com/partner/laura-cardigan/
Spring Crochet Scarf,1. Basic,,,Weight 2 - Fine,4.5 mm (7),"Double Crochet , Half Double Crochet Two Together , Single Crochet",,"Crochet Scarves This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/spring-crochet-scarf/
Sweetheart Placemat,2. Easy,,,Weight 2 - Fine,4 mm (G-6),Tunisian Simple Stitch,Pink,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/sweetheart-placemat/
Mishelka Blanket,2. Easy,,,Weight 2 - Fine,4.5 mm (7),Tunisian Simple Stitch,Pink,"Crochet Baby Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/mishelka-blanket/
Bunnies Crochet Pattern,2. Easy,,,Weight 2 - Fine,2mm,"Single Crochet , Single Crochet Two Together , Slip Stitch","Blue , Pink , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/bunnies-crochet-pattern/
Chinese New Year Rabbit,2. Easy,,,Weight 2 - Fine,2.25 mm (B-1),Single Crochet,"Red , White , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/chinese-new-year-rabbit/
Basic Body Crochet Pattern,2. Easy,,,Weight 2 - Fine,2mm,"Single Crochet , Single Crochet Back Loop , Single Crochet Two Together , Slip Stitch",Neutral,"Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/basic-body-crochet-pattern/
Mosaic Socks,3. Intermediate,,,Weight 2 - Fine,,"Double Crochet , Half Double Crochet , Single Crochet , Single Crochet Back Loop , Slip Stitch","Green , Pink , Variegated","Crochet Footwear This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/mosaic-socks/
Crochet Monkey,"2. Easy , 3. Intermediate",,,Weight 2 - Fine,2.75 mm (C-2),Single Crochet,Brown,"Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-monkey/
Christmas Ornament Balls with Snail,1. Basic,,,Weight 2 - Fine,2.25 mm (B-1),"Bobble , Double Crochet , Single Crochet , Slip Stitch","Black , Blue , Brown , Green , Orange , Pink , White , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/christmas-ornament-balls-with-snail/
Crochet A Flat Christmas Tree,2. Easy,,,Weight 2 - Fine,3.5 mm (E-4),"Half Double Crochet , Single Crochet","Brown , Green , Neutral","Christmas Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-a-flat-christmas-tree/
Cute Bee Crochet Pattern,2. Easy,,,Weight 2 - Fine,2.25 mm (B-1),"Single Crochet , Single Crochet Two Together , Slip Stitch","Black , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/cute-bee-crochet-pattern/
Crochet Red Panda,2. Easy,Lion Brand,24/7 Cotton,"Weight 2 - Fine , Weight 3 - Light , Weight 4 - Medium",2.25 mm (B-1),Single Crochet,"Black , Brown , Orange",Black,https://easycrochet.com/partner/cutie-red-panda/
Little Jellyfish Crochet Pattern,2. Easy,,,Weight 2 - Fine,2mm,"Front Loop Single Crochet , Half Double Crochet , Single Crochet , Single Crochet Back Loop , Single Crochet Two Together , Slip Stitch","Green , Orange , Pink , Purple , Yellow","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/little-jellyfish-crochet-pattern/
Among Us Monster Crochet Pattern,3. Intermediate,Lion Brand,24/7 Cotton,"Weight 2 - Fine , Weight 3 - Light",2.25 mm (B-1),"Front Loop Single Crochet , Half Double Crochet , Single Crochet",Pink,Pink,https://easycrochet.com/partner/among-us-monster-crochet-pattern/
Little Reindeer Crochet Pattern,3. Intermediate,,,Weight 2 - Fine,2.25 mm (B-1),"Single Crochet , Slip Stitch","Brown , Red , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/little-reindeer-crochet-pattern/
Herringbone Dickie Cowl,2. Easy,,,Weight 2 - Fine,5 mm (H-8),Herringbone Half Double Crochet,Pink,"Crochet Cowls This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/herringbone-dickie-cowl/
Crochet Reindeer,2. Easy,,,Weight 2 - Fine,2.75 mm (C-2),Single Crochet,,"Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-reindeer-pattern/
Little Bear Crochet Pattern,2. Easy,,,Weight 2 - Fine,2.25 mm (B-1),"Single Crochet , Slip Stitch","Black , Brown , Gray , Variegated , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/little-bear-crochet-pattern/
Cute Tiger Crochet Pattern,3. Intermediate,,,Weight 2 - Fine,2.25 mm (B-1),"Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch","Brown , Orange , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/cute-tiger-crochet-pattern/
Mini Slimes Crochet Pattern,2. Easy,,,Weight 2 - Fine,2.25 mm (B-1),"Single Crochet , Slip Stitch","Blue , Gray , Green , Purple , White","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/mini-slimes-crochet-pattern/
Simply Cute Octopus Crochet Pattern,1. Basic,,,Weight 2 - Fine,2.25 mm (B-1),"Single Crochet , Slip Stitch","Blue , Pink","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/simply-cute-octopus-crochet-pattern/
Cherry Blossom Cardigan,2. Easy,,,Weight 2 - Fine,4 mm (G-6),Double Crochet,,"Crochet Cardigans This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/cherry-blossom-cardigan/
Wizard Frog Crochet Pattern,2. Easy,,,Weight 2 - Fine,2.25 mm (B-1),Single Crochet,"Black , Green , Purple","Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/wizard-frog-crochet-pattern/
Cutie The Crochet Giraffe,2. Easy,,,Weight 2 - Fine,2.25 mm (B-1),Single Crochet,,"Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/cutie-giraffe/
Banana Cat Amigurumi,4. Complex,Lion Brand,,Weight 2 - Fine,2.25 mm (B-1),Single Crochet,"Brown , Yellow",Amigurumi,https://easycrochet.com/partner/banana-cat-amigurumi/
Crochet Ruffle Necklace,2. Easy,DMC,Natura Just Cotton,Weight 2 - Fine,4 mm (G-6),Double Crochet,Yellow,Yellow,https://easycrochet.com/partner/crochet-ruffle-necklace/
Twisted Tweed Boot Cuffs,3. Intermediate,WeCrochet,Palette,Weight 2 - Fine,4 mm (G-6),,Brown,Crochet Boot Cuffs,https://easycrochet.com/partner/twisted-tweed-boot-cuffs/
Granny Square Cushion Cover,1. Basic,Hobby Lobby,,Weight 2 - Fine,3.5 mm (E-4),Double Crochet,Variegated,Crochet Home DÃ©cor,https://easycrochet.com/partner/granny-square-cushion-cover/
Crochet Mug Rug Coasters,1. Basic,Hobby Lobby,,Weight 2 - Fine,3.5 mm (E-4),Single Crochet Back Loop,Variegated,Crochet Home DÃ©cor,https://easycrochet.com/partner/crochet-mug-rug-coasters/
Beaded Amigurumi Crochet Christmas Tree,2. Easy,Yarn and,Must-Have,Weight 2 - Fine,3.5 mm (E-4),Single Crochet,Green,Green,https://easycrochet.com/partner/beaded-amigurumi-crochet-christmas-tree/
Crochet Among Us Squid Game Pattern,2. Easy,Paintbox Yarn,,Weight 2 - Fine,2.25 mm (B-1),Single Crochet,"Black , Pink",Amigurumi,https://easycrochet.com/partner/crochet-among-us-squid-game-pattern/
Amigurumi Santa Purrmaid,4. Complex,Paintbox Yarn,,Weight 2 - Fine,2.25 mm (B-1),Single Crochet,"Pink , Red , White",Amigurumi,https://easycrochet.com/partner/amigurumi-santa-purrmaid/
Amigurumi Bear Among Us Keychain,"1. Basic , 2. Easy",Paintbox Yarn,,Weight 2 - Fine,2.25 mm (B-1),Single Crochet,"Blue , Brown , White",Amigurumi,https://easycrochet.com/partner/amigurumi-bear-among-us-keychain/
Beginner Crochet Cardigan,1. Basic,Hobby Lobby,,Weight 2 - Fine,4 mm (G-6),Double Crochet,Variegated,Crochet Cardigans,https://easycrochet.com/partner/beginner-crochet-cardigan/
"Christmas Ornaments: Elf, Santa, Reindeer and Cupcake",,,,,,,,,
Crochet Fox Bookmark,3. Intermediate,Paintbox Yarn,,Weight 2 - Fine,2.25 mm (B-1),Single Crochet,"Orange , White",Amigurumi,https://easycrochet.com/partner/crochet-fox-bookmark/
Missing Holiday Sun Shawl,3. Intermediate,,,Weight 2 - Fine,4 mm (G-6),Tunisian Simple Stitch,Yellow,"Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/missing-holiday-sun-shawl/
Waves Of Emotions Cowl,2. Easy,,,Weight 2 - Fine,6.5 mm (K-10.5),"Double Crochet , Half Double Crochet , Single Crochet , Triple Crochet",Green,"Crochet Cowls This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/waves-of-emotions-cowl/
Suffragette Hat Christmas Ornament,2. Easy,,,Weight 2 - Fine,3.75 mm (F-5),Single Crochet,White,"Christmas Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/suffragette-hat-christmas-ornament/
